
-0.16,0.06,-,-0.84,0.07
-0.16,0.06,-,-0.81,0.07
-0.14,0.06,-,-0.84,0.07
-0.14,0.06,-,-0.85,0.07
-0.15,0.06,-,-0.80,0.07
-0.17,0.06,-,-0.81,0.07
-0.15,0.06,-,-0.82,0.07
-0.16,0.06,-,-0.82,0.07
-0.16,0.06,-,-0.83,0.07
-0.17,0.06,-,-0.80,0.07
-0.16,0.06,-,-0.79,0.07
-0.17,0.04,-,-0.82,0.07
-0.16,0.04,-,-0.81,0.07
-0.15,0.04,-,-0.85,0.07
-0.16,0.04,-,-0.84,0.07
-0.19,0.04,-,-0.79,0.07
-0.50,0.07,-,0.10,0.15
-0.35,0.07,-,-0.20,0.46
-0.14,0.04,-,0.51,0.81
-0.25,0.01,-,0.75,1.12
-0.28,0.00,-,0.95,1.48
-0.22,-0.02,-,1.33,1.77
-0.01,-0.03,-,1.55,2.08
-0.10,-0.04,-,1.87,2.44
-1.37,-0.06,-,1.90,2.73
-0.91,-0.09,-,2.23,3.02
-1.24,-0.04,-,2.47,3.23
-0.56,0.10,-,3.24,3.51
-0.30,0.28,-,3.33,3.81
0.14,0.44,-,3.54,4.06
0.01,0.58,-,3.79,4.33
0.12,0.75,-,4.08,4.64
0.24,0.91,-,4.37,4.90
0.43,1.07,-,4.56,5.23
0.46,1.20,-,4.87,5.50
0.62,1.35,-,5.26,5.77
0.83,1.52,-,5.67,6.08
1.16,1.66,-,6.07,6.35
1.23,1.82,-,6.43,6.67
1.33,1.95,-,6.64,6.95
1.46,2.07,-,7.10,7.09
1.28,2.12,-,6.75,7.09
1.51,2.37,-,7.04,7.02
1.98,2.68,-,6.57,6.80
2.19,2.90,-,6.61,6.61
2.34,3.15,-,6.52,6.43
2.76,3.45,-,6.30,6.22
3.16,3.71,-,5.70,6.04
3.34,4.01,-,5.76,5.85
3.65,4.26,-,5.61,5.69
3.97,4.51,-,5.59,5.52
4.03,4.81,-,5.29,5.34
4.53,5.07,-,5.19,5.17
4.73,5.22,-,4.86,5.02
5.41,5.23,-,5.11,4.96
5.09,5.22,-,5.64,4.98
4.86,5.22,-,5.32,4.98
4.81,5.22,-,5.28,4.87
4.83,5.11,-,4.89,4.58
4.79,4.93,-,4.53,4.27
4.65,4.78,-,4.02,4.01
4.50,4.61,-,3.89,3.69
4.28,4.47,-,3.60,3.43
4.36,4.32,-,2.94,3.10
3.95,4.18,-,2.87,2.83
3.50,4.05,-,2.58,2.56
3.58,3.89,-,2.28,2.24
3.54,3.75,-,2.03,1.97
3.40,3.59,-,1.94,1.65
3.38,3.48,-,1.46,1.38
3.19,3.36,-,1.14,1.10
3.15,3.19,-,0.69,0.85
3.33,3.14,-,0.90,0.83
2.75,2.78,-,0.61,0.74
2.41,2.48,-,0.43,0.74
2.01,2.24,-,0.35,0.73
1.81,1.95,-,0.54,0.72
1.52,1.65,-,0.57,0.71
1.24,1.30,-,0.38,0.70
0.84,0.98,-,0.56,0.70
0.52,0.68,-,0.59,0.68
